epoch,epoch_index_zero_based,timestamp,img_size,batch_size,max_train_samples,max_val_samples,train_dataset_size,val_dataset_size,device,lr,epoch_elapsed_sec,checkpoint_path,phase,loss,abs_rel,rmse,si_rmse,valid_pixel_fraction,n_batches,n_samples,elapsed_sec,samples_per_sec
39,38,2026-05-24 23:20:12,128,8,3000,500,3000,500,cuda,0.001,50.46173024177551,/content/model_checkpoint.pt,train,0.9601247597535452,5.745807000001272,0.1306802461743355,0.9286688768068949,0.539487060546875,375,3000,43.61357355117798,68.78592501666196
39,38,2026-05-24 23:20:12,128,8,3000,500,3000,500,cuda,0.001,50.46173024177551,/content/model_checkpoint.pt,val,1.0477735447505163,4.526182072503226,0.15049538743637858,0.955280725918119,0.5110517578125,63,500,6.847619533538818,73.01807548609557
40,39,2026-05-24 23:21:03,128,8,3000,500,3000,500,cuda,0.001,50.55824613571167,/content/model_checkpoint.pt,train,0.9536283253033956,5.629883674144745,0.1296707632392645,0.9288665976524353,0.539487060546875,375,3000,43.70334315299988,68.64463410722102
40,39,2026-05-24 23:21:03,128,8,3000,500,3000,500,cuda,0.001,50.55824613571167,/content/model_checkpoint.pt,val,0.9669697771942805,6.298199392500377,0.1365752788408408,0.9436382405341618,0.5110517578125,63,500,6.854358673095703,72.94628481619564
41,40,2026-05-24 23:21:53,128,8,3000,500,3000,500,cuda,0.001,50.45043921470642,/content/model_checkpoint.pt,train,0.937000849644343,5.718174819946289,0.1294958730911215,0.9193789772987365,0.539487060546875,375,3000,43.57025980949402,68.85430596735381
41,40,2026-05-24 23:21:53,128,8,3000,500,3000,500,cuda,0.001,50.45043921470642,/content/model_checkpoint.pt,val,0.9772328374877809,5.205044797488621,0.1459930254116891,0.9439687340978592,0.5110517578125,63,500,6.879759073257446,72.67696363722497
42,41,2026-05-24 23:22:44,128,8,3000,500,3000,500,cuda,0.001,50.49922180175781,/content/model_checkpoint.pt,train,0.915041023015976,5.586492038408915,0.12619251419603825,0.9130167721112569,0.539487060546875,375,3000,43.642881631851196,68.73973229601222
42,41,2026-05-24 23:22:44,128,8,3000,500,3000,500,cuda,0.001,50.49922180175781,/content/model_checkpoint.pt,val,1.0314883424176111,5.377629569598606,0.14932459684473182,0.965917518214574,0.5110517578125,63,500,6.85592794418335,72.92958795230716
43,42,2026-05-24 23:23:34,128,8,3000,500,3000,500,cuda,0.001,50.41514539718628,/content/model_checkpoint.pt,train,0.9234717951615652,5.499027890364329,0.1275140174875657,0.9204904009501139,0.539487060546875,375,3000,43.54953408241272,68.88707452811846
43,42,2026-05-24 23:23:34,128,8,3000,500,3000,500,cuda,0.001,50.41514539718628,/content/model_checkpoint.pt,val,0.9763840999868181,6.064218753860111,0.13868832948898513,0.947937874566941,0.5110517578125,63,500,6.865190505981445,72.83119085542698
44,43,2026-05-24 23:24:24,128,8,3000,500,3000,500,cuda,0.001,50.527780532836914,/content/model_checkpoint.pt,train,0.8962260060310364,5.536621445655823,0.12511266314983369,0.9046854135195415,0.539487060546875,375,3000,43.67848253250122,68.68370479143124
44,43,2026-05-24 23:24:24,128,8,3000,500,3000,500,cuda,0.001,50.527780532836914,/content/model_checkpoint.pt,val,0.9450473827975137,5.58909169075981,0.13837402559343784,0.931472969433618,0.5110517578125,63,500,6.848885536193848,73.00457824235541
